"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"Citizenship","Received","31/08/2024","Suriname","0","*","0","0","*","0","0","0"
"Citizenship","Received","31/08/2024","Svalbard and Jan Mayen","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Sweden","8","*","5","4","12","9","20","9"
"Citizenship","Received","31/08/2024","Switzerland","5","*","5","5","6","6","12","0"
"Citizenship","Received","31/08/2024","Syrian Arab Republic (the)","104","131","298","504","424","925","646","134"
"Citizenship","Received","31/08/2024","Taiwan (Province of China)","*","*","13","9","12","20","24","5"
"Citizenship","Received","31/08/2024","Tajikistan","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Tanzania, the United Republic of","8","14","10","5","7","7","12","*"
"Citizenship","Received","31/08/2024","Thailand","131","132","106","85","107","106","107","24"
"Citizenship","Received","31/08/2024","Timor-Leste","0","0","0","0","0","0","*","0"
"Citizenship","Received","31/08/2024","Togo","17","26","12","8","10","15","18","8"
"Citizenship","Received","31/08/2024","Tokelau","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Tonga","0","0","0","0","*","0","0","0"
"Citizenship","Received","31/08/2024","Trinidad and Tobago","*","4","7","0","4","9","*","4"
"Citizenship","Received","31/08/2024","Tunisia","16","15","23","18","22","27","29","19"
"Citizenship","Received","31/08/2024","Turkiye","88","76","106","102","132","196","274","141"
"Citizenship","Received","31/08/2024","Turkmenistan","*","*","0","*","0","0","0","0"
"Citizenship","Received","31/08/2024","Turks and Caicos Islands (the)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Tuvalu","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Uganda","23","27","21","23","23","41","25","14"
"Citizenship","Received","31/08/2024","Ukraine","158","183","159","108","130","181","223","108"
"Citizenship","Received","31/08/2024","United Arab Emirates (the)","0","0","*","0","*","*","0","0"
"Citizenship","Received","31/08/2024","United Kingdom of Great Britain and Northern Ireland (the)","852","1267","1742","1168","1030","1064","1334","646"
"Citizenship","Received","31/08/2024","United States Minor Outlying Islands (the)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","United States of America (the)","273","334","270","350","393","519","572","289"
"Citizenship","Received","31/08/2024","Uruguay","*","*","*","*","4","*","7","*"
"Citizenship","Received","31/08/2024","Uzbekistan","11","8","*","*","6","6","5","5"
"Citizenship","Received","31/08/2024","Vanuatu","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Venezuela (Bolivarian Republic of)","22","46","66","95","80","105","168","48"
"Citizenship","Received","31/08/2024","Viet Nam","30","26","42","35","53","68","68","32"
"Citizenship","Received","31/08/2024","Virgin Islands (British)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Virgin Islands (U.S.)","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Wallis and Futuna","0","0","0","0","0","0","0","0"
"Citizenship","Received","31/08/2024","Western Sahara","0","0","0","0","0","0","*","0"
"Citizenship","Received","31/08/2024","Yemen","0","*","*","4","12","4","15","7"
"Citizenship","Received","31/08/2024","Zambia","*","6","*","4","5","7","13","*"
"Citizenship","Received","31/08/2024","Zimbabwe","54","71","96","107","121","179","330","118"
"Citizenship","Received","31/08/2024","*Other","11","32","25","15","10","7","*","12"
"Citizenship","Received","31/08/2024","Dual Nationality","24","39","35","20","24","21","11","7"
"Citizenship","Issued","31/08/2024","Afghanistan","39","36","15","25","81","165","144","72"
"Citizenship","Issued","31/08/2024","Åland Islands","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Albania","14","26","13","25","57","77","95","70"
"Citizenship","Issued","31/08/2024","Algeria","20","25","8","8","51","88","75","37"
"Citizenship","Issued","31/08/2024","American Samoa","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Andorra","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Angola","26","16","7","8","19","19","17","11"
"Citizenship","Issued","31/08/2024","Anguilla","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Antarctica","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Antigua and Barbuda","0","0","0","0","0","*","4","0"
"Citizenship","Issued","31/08/2024","Argentina","15","10","7","13","25","33","48","40"
"Citizenship","Issued","31/08/2024","Armenia","*","9","*","*","6","14","14","12"
"Citizenship","Issued","31/08/2024","Aruba","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Australia","32","32","31","12","67","79","77","60"
"Citizenship","Issued","31/08/2024","Austria","*","*","0","*","*","5","8","*"
"Citizenship","Issued","31/08/2024","Azerbaijan","*","*","*","*","6","6","10","*"
"Citizenship","Issued","31/08/2024","Bahamas (the)","0","0","0","0","0","0","*","*"
"Citizenship","Issued","31/08/2024","Bahrain","*","*","0","0","*","0","4","5"
"Citizenship","Issued","31/08/2024","Bangladesh","79","81","58","40","144","233","274","152"
"Citizenship","Issued","31/08/2024","Barbados","*","0","0","*","*","*","*","0"
"Citizenship","Issued","31/08/2024","Belarus","29","29","22","16","23","30","54","40"
"Citizenship","Issued","31/08/2024","Belgium","*","4","6","*","4","7","4","*"
"Citizenship","Issued","31/08/2024","Belize","0","0","0","*","0","*","0","*"
"Citizenship","Issued","31/08/2024","Benin","*","*","0","*","*","*","4","*"
"Citizenship","Issued","31/08/2024","Bermuda","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Bhutan","0","0","0","0","*","8","4","4"
"Citizenship","Issued","31/08/2024","Bolivia (Plurinational State of)","*","*","*","*","*","11","12","14"
"Citizenship","Issued","31/08/2024","Bonaire, Sint Eustatius and Saba","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Bosnia and Herzegovina","11","8","*","5","8","6","13","14"
"Citizenship","Issued","31/08/2024","Botswana","4","5","6","*","11","11","11","20"
"Citizenship","Issued","31/08/2024","Bouvet Island","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Brazil","262","215","184","175","330","524","838","855"
"Citizenship","Issued","31/08/2024","Brunei Darussalam","0","0","0","0","0","0","0","0"
